machine_name,node_id,timestamp,voltage_l1,voltage_l2,voltage_l3,current_l1,current_l2,current_l3,active_power_kw,kwh,kvarh,pf,temperature,vibration,co2_ppm
JMS Industrial,TX-JMS,2026-03-11T08:43:14.187Z,403.4,400.5,404.7,17.77,17.78,15.35,20.50,121.708,12.171,0.93,42.2,1.79,413
EBOOT CNC,TX-EBOOT,2026-03-11T08:43:14.187Z,404.3,402.0,401.6,16.41,17.95,16.76,20.58,86.715,8.672,0.85,41.7,0.33,470
SARA Mill,TX-SARA,2026-03-11T08:43:14.187Z,400.9,401.8,396.2,18.90,16.88,16.31,20.82,151.735,15.174,0.86,64.5,1.48,459
Compressor Array,D-003,2026-03-11T08:43:14.187Z,397.3,403.7,396.2,15.37,19.64,19.83,21.89,46.824,4.682,0.91,62.2,1.55,426
JMS Industrial,TX-JMS,2026-03-11T08:48:14.187Z,401.3,403.7,403.8,15.62,15.27,17.08,19.33,123.319,12.332,0.91,64.8,0.96,409
EBOOT CNC,TX-EBOOT,2026-03-11T08:48:14.187Z,403.9,402.1,404.3,17.13,17.84,19.11,21.82,88.533,8.853,0.94,40.7,2.02,447
SARA Mill,TX-SARA,2026-03-11T08:48:14.187Z,396.3,403.0,401.4,15.32,15.37,15.16,18.35,153.264,15.326,0.85,54.8,1.05,468
Compressor Array,D-003,2026-03-11T08:48:14.187Z,404.9,398.7,404.1,18.47,19.93,16.35,22.03,48.660,4.866,0.93,60.4,0.62,482
JMS Industrial,TX-JMS,2026-03-11T08:53:14.187Z,395.1,401.8,396.4,16.49,19.78,15.57,20.63,125.038,12.504,0.87,52.2,0.55,407
EBOOT CNC,TX-EBOOT,2026-03-11T08:53:14.187Z,398.8,398.7,399.9,15.56,19.55,15.35,20.14,90.212,9.021,0.87,50.0,1.74,468
SARA Mill,TX-SARA,2026-03-11T08:53:14.187Z,396.1,400.3,403.3,15.98,17.11,17.38,20.19,154.947,15.495,0.93,53.8,1.38,455
Compressor Array,D-003,2026-03-11T08:53:14.187Z,395.0,398.9,400.6,18.04,17.67,18.84,21.72,50.471,5.047,0.88,41.4,1.50,437
JMS Industrial,TX-JMS,2026-03-11T08:58:14.187Z,396.6,396.3,395.7,19.57,16.36,17.81,21.29,126.813,12.681,0.90,49.8,1.84,494
EBOOT CNC,TX-EBOOT,2026-03-11T08:58:14.187Z,403.4,395.9,402.6,17.34,16.36,15.25,19.61,91.846,9.185,0.87,56.3,1.24,484
SARA Mill,TX-SARA,2026-03-11T08:58:14.187Z,401.5,399.1,400.3,17.03,18.92,19.82,22.32,156.807,15.681,0.87,48.6,1.97,434
Compressor Array,D-003,2026-03-11T08:58:14.187Z,395.1,402.4,398.8,19.01,16.01,18.12,21.18,52.235,5.224,0.88,55.9,1.31,411
JMS Industrial,TX-JMS,2026-03-11T09:03:14.187Z,404.8,398.0,401.9,19.50,16.18,18.42,21.74,128.624,12.862,0.87,58.2,0.23,476
EBOOT CNC,TX-EBOOT,2026-03-11T09:03:14.187Z,395.9,398.5,396.2,18.72,15.46,19.34,21.23,93.616,9.362,0.95,42.1,2.04,415
SARA Mill,TX-SARA,2026-03-11T09:03:14.187Z,404.2,398.7,402.3,16.81,15.63,17.27,19.98,158.471,15.847,0.93,65.4,1.91,451
Compressor Array,D-003,2026-03-11T09:03:14.187Z,400.7,397.5,402.5,16.08,16.92,17.16,20.07,53.908,5.391,0.92,56.4,1.70,431
JMS Industrial,TX-JMS,2026-03-11T09:08:14.187Z,401.6,404.8,403.1,19.37,18.42,18.60,22.73,130.519,13.052,0.93,54.8,0.92,469
EBOOT CNC,TX-EBOOT,2026-03-11T09:08:14.187Z,399.9,398.4,395.4,16.81,16.50,18.15,20.47,95.322,9.532,0.87,65.1,2.06,484
SARA Mill,TX-SARA,2026-03-11T09:08:14.187Z,396.9,402.0,401.4,15.47,18.41,17.06,20.39,160.170,16.017,0.93,61.8,0.23,466
Compressor Array,D-003,2026-03-11T09:08:14.187Z,397.9,403.2,403.1,15.43,17.09,17.13,19.94,55.570,5.557,0.92,67.3,1.23,416
JMS Industrial,TX-JMS,2026-03-11T09:13:14.187Z,399.6,400.0,404.8,16.11,18.53,19.01,21.54,132.314,13.231,0.87,67.7,0.44,480
EBOOT CNC,TX-EBOOT,2026-03-11T09:13:14.187Z,403.9,399.2,402.0,19.38,19.40,18.77,23.12,97.248,9.725,0.87,69.7,0.54,461
SARA Mill,TX-SARA,2026-03-11T09:13:14.187Z,401.0,399.6,400.4,17.36,19.66,18.20,22.11,162.013,16.201,0.94,49.3,0.46,466
Compressor Array,D-003,2026-03-11T09:13:14.187Z,400.0,399.5,400.5,17.29,18.36,15.11,20.30,57.262,5.726,0.93,43.4,0.29,482
JMS Industrial,TX-JMS,2026-03-11T09:18:14.187Z,396.5,401.1,403.8,17.92,15.00,16.32,19.71,133.956,13.396,0.85,54.8,1.55,500
EBOOT CNC,TX-EBOOT,2026-03-11T09:18:14.187Z,402.4,404.1,396.0,17.04,15.08,17.77,19.99,98.914,9.891,0.90,43.9,1.16,471
SARA Mill,TX-SARA,2026-03-11T09:18:14.187Z,399.2,402.7,402.4,17.96,19.13,16.52,21.52,163.806,16.381,0.92,47.6,1.52,413
